# REPO,PACKAGE,DESCRIPTION
# The repo column determines the repository of the package:
#   R - Arch Repository
#   U - Arch User Repository (AUR)
# (https://github.com/swaywm/sway/wiki/Useful-add-ons-for-sway)
# (https://github.com/natpen/awesome-wayland#wallpaper)

# USER PACKAGES
R,exa,"is a modern replacement for ls."
R,imv,"is an image viewer for Wayland and X11."
R,mpv,"is a cross-platform media player."
R,bat,"is cat clone with syntax highlighting and git integration."
R,xplr,"is a TUI file explorer."
R,fcitx5,"is an input method framework with extension support."
R,fcitx5-mozc,"is a Japanese Input Method based on Google Japanese Input."
U,jisho,"is a simple CLI tool to lookup Japanese words using jisho.org."
R,firefox,"is a standalone web browser."
R,alacritty,"is an OpenGL-based terminal emulator."
R,keepassxc,"is a cross-platform community-driven password manager."
R,neovim,"is an extensible text editor forked from Vim."
R,syncthing,"is a tool for synchronizing files across devices."
R,xournalpp,"is a notetaking software with PDF annotation support."
R,gimp,"is a handy image manipulation program."
R,ffmpeg,"is a complete solution to record, convert and stream audio and video."
# R,blender,"is a fully integrated 3D graphics creation suite."
# R,obs-studio,"is a software for live streaming and recording."

# WAYLAND
R,wayland,"is a modern computer display server protocol."
R,wl-clipboard,"are clipboard utilities for Wayland compositors."
R,sway,"is a tiling Wayland compositor and window manager."
R,mako,"is a lightweight notification daemon for Wayland."
R,gammastep,"is a tool to adjust screen color temperature on Wayland."
R,wtype,"is an utility to fake mouse/keyboard actions on Wayland."
R,wofi,"is a launcher/menu program for Wayland compositors."
R,swaybg,"is a wallpaper tool for Wayland compositors."
R,swayidle,"is an idle management daemon for Wayland compositors."
# R,wf-recorder,"is a screen recorder for Wayland compositors."
# R,fuzzel,"is a application launcher for Wayland compositors."

# AUDIO
R,pipewire,"is a low-latency audio/video router and processor."
R,lib32-pipewire,"is PipeWire but for multilib support."
R,wireplumber,"is an audio session manager for PipeWire."
R,pipewire-alsa,"routes ALSA API through PipeWire."
R,pipewire-pulse,"routes PulseAudio API through PipeWire."

# FONTS
# R,ttf-dejavu,"is a font family based on the Bitstream Vera Fonts."
# U,nerd-fonts-dejavu-complete,"provides all variants of DejaVu Sans Mono nerd-font patched."
R,otf-fira-mono,"provides monospace typeface by Mozilla."
R,otf-fira-sans,"provides sans-serif typeface by Mozilla."
R,ttf-nerd-fonts-symbols-2048-em,"provides all the glyphs from the nerd font library."
R,otf-ipafont,"are Japanese outline fonts by IPA."
R,otf-ipaexfont,"are Japanese outline fonts based on traditional printing fonts."
